asin,asin_description,amazon_url,division,taxonomy,product,start_date,onhand_units,start_date_pred,forecast_mean,forecast_p70,forecast_p80,forecast_p90,po_request_date,po_quantity,lead_time_days
ASIN_155153,MLB A XL WHT/NVY CHRM SHKSRB X,https://www.amazon.com/dp/B0BL989NC6,Baseball,Gloves,Batting Glove,2026-08-31,41,2027-04-26,11,14,19,21,2026-09-05,4,15.576492229252985
ASIN_5CAFA3,MLB GATOR GRIP ROSIN BAG,https://www.amazon.com/dp/B07HYY1JGX,Baseball,General Accessories,Accessory,2026-08-31,2591,2027-04-05,171,232,274,349,2026-09-09,85,14.718206672929307
ASIN_9B5E95,OL3000 TP BSBL WHT BLST,https://www.amazon.com/dp/B007CFYQ6K,Baseball,Balls,Baseball,2026-08-31,14,2027-04-26,1,1,1,2,,,
ASIN_2406AC,"9.5"" BLK/WHT/GRY BBG W/BALL FR",https://www.amazon.com/dp/B00NYA3Z3W,Baseball,Fielding Gloves,Glove & Ball,2026-08-31,44,2027-01-18,10,11,12,17,2026-09-12,4,16.2587594122107
ASIN_56E1F6,MLB Y L WHT/FGRN 2ND SKNZ BTG,https://www.amazon.com/dp/B07XLHMKD8,Baseball,Gloves,Batting Glove,2026-08-31,39,2026-10-05,5,5,9,10,2026-09-05,8,15.603690197083127
ASIN_9BB0BA,MLB Y L WHT/CHRM SHKSORB X BTG,https://www.amazon.com/dp/B07XNWNRTB,Baseball,Gloves,Batting Glove,2026-08-31,128,2027-01-11,20,21,25,30,2026-09-05,16,14.322970786436981
ASIN_20ADE4,"14.0"" PVC FLDMSTR GOLD BBG REG",https://www.amazon.com/dp/B07XHPX4HK,Baseball,Fielding Gloves,Baseball Glove,2026-08-31,103,2027-02-01,35,49,46,65,2026-09-09,52,13.832894494649285
ASIN_0CBCEA,MLB A L BLK/BLK SHKSORB X BTG,https://www.amazon.com/dp/B07GJZ1D4G,Baseball,Gloves,Batting Glove,2026-08-31,234,2026-09-07,39,44,55,65,2026-09-09,72,15.365686244034393
ASIN_B0C1A7,"9.5"" BLK/WHT DIGI PVC BBG REG",https://www.amazon.com/dp/B013LPRT8Q,Baseball,Fielding Gloves,Baseball Glove,2026-08-31,89,2027-06-07,30,35,47,50,2026-09-03,4,15.24047323268739
ASIN_6D3FEF,Y L RLXD WHT BSBL PANT BULK,,Baseball,Apparel,Pant,2026-08-31,1,2027-02-01,55,73,74,137,2026-09-09,323,13.233648860412103
ASIN_487C84,A XL PRL/BLK TRAD GOLF GLV RH,https://www.amazon.com/dp/B07BNQT3J8,Baseball,Gloves,Sport Glove,2026-08-31,5,2027-04-12,0,0,1,1,,,
ASIN_BF9C26,USA BB HEIST 900 27/18 BLK,,Baseball,Bats,Bat,2026-08-31,24,2026-09-21,6,7,8,11,2026-09-09,11,13.474645033452997
ASIN_41E889,MLB Y L CFX PRPL HI-LT BTG,,Baseball,Gloves,Batting Glove,2026-08-31,72,2026-11-16,5,6,9,11,,,
ASIN_B800E6,USA BB BRCDA PCS 1300 24/11 RD,https://www.amazon.com/dp/B0BHG26P28,Baseball,Bats,Bat,,,2027-03-22,10,12,13,21,2026-09-04,3,13.073033211236481
ASIN_318770,MLB Y M CFX F.GRN HI-LT BTG,,Baseball,Gloves,Batting Glove,2026-08-31,35,2027-02-15,2,3,3,4,,,
ASIN_2C86A5,MLB A XL VNILA CFX PRO GOLD BT,,Baseball,Gloves,Batting Glove,2026-08-31,89,2026-11-16,11,13,17,22,2026-09-09,5,16.153302745359174
ASIN_3B3E0D,MLB GATOR GRIP - GRIP TRNR RED,https://www.amazon.com/dp/B07HYYCQLJ,Baseball,General Accessories,Bat Trainer,2026-08-31,49,2026-09-07,7,7,9,11,2026-09-10,17,17.703861018593027
ASIN_07C065,Y XS KNKR WHT BSBL PANT BULK,https://www.amazon.com/dp/B00CI4OZBG,Baseball,Apparel,Pant,2026-08-31,2926,2027-04-05,233,272,362,410,2026-09-02,627,15.14976692464886
ASIN_77FCD5,"MLB 18"" PITCHER RUBBER W/STAKE",https://www.amazon.com/dp/B013LPR8AA,Baseball,Training Aids,Base Set,2026-08-31,437,2027-04-19,102,185,176,223,2026-09-08,4,13.559616080790093
ASIN_BE7943,MLB A M PRL/WHT CFX PRO BTG,https://www.amazon.com/dp/B013LPT19Q,Baseball,Gloves,Batting Glove,2026-08-31,84,2026-12-21,11,11,14,21,2026-09-10,5,15.637119127137908
ASIN_461D97,MLB EYE BLK - RED FSN,https://www.amazon.com/dp/B07H5RGYFT,Baseball,General Accessories,Eye Black,2026-08-31,459,2027-05-31,70,110,120,173,2026-09-05,23,16.71080112688895
ASIN_5B644D,"9.5"" RED/RED PVC BBG FR W/BAL",https://www.amazon.com/dp/B075S4ML5D,Baseball,Fielding Gloves,Glove & Ball,2026-08-31,201,2026-11-30,24,34,39,45,2026-09-12,4,15.335775677491329
ASIN_C89E44,"9.5"" NVY/RED DIGI BBG REG W/BA",https://www.amazon.com/dp/B075RVW4KP,Baseball,Fielding Gloves,Glove & Ball,2026-08-31,0,2026-11-02,4,5,7,10,2026-09-10,3,14.234107537595007
ASIN_EFF54C,MLB Y BASEBALL BELT YELLOW,,Baseball,Apparel,Belt,2026-08-31,470,2027-01-11,43,58,80,105,2026-09-11,11,13.51668055348245
ASIN_F98834,MLB A M NVY/NVY NAT HI-LTE BTG,,Baseball,Gloves,Batting Glove,2026-08-31,41,2026-11-02,1,1,1,3,,,
ASIN_F2A4D8,"9.5"" GRPHT/PNK BBG REG W/BALL",https://www.amazon.com/dp/B00VN2DN6W,Baseball,Fielding Gloves,Glove & Ball,2026-08-31,265,2027-02-15,111,117,166,225,,,
ASIN_576E9A,"9.5"" BLK/WHT/GRY BBG W/BALL RE",https://www.amazon.com/dp/B00NYA3Z46,Baseball,Fielding Gloves,Glove & Ball,2026-08-31,473,2026-09-28,22,28,32,46,2026-09-05,10,13.58482753505731
ASIN_E1B05C,GATOR BAT GRIP AW5000 USA,https://www.amazon.com/dp/B07WGWN8BZ,Baseball,General Accessories,Tape,2026-08-31,53,2027-05-10,13,16,21,24,,,
ASIN_981230,"10.0"" FLDMSTR CML/BRN BBG FR",https://www.amazon.com/dp/B0BHF9TMXL,Baseball,Fielding Gloves,Baseball Glove,2026-08-31,44,2027-07-12,5,8,10,13,,,
ASIN_07C065,Y XS KNKR WHT BSBL PANT BULK,https://www.amazon.com/dp/B00CI4OZBG,Baseball,Apparel,Pant,2026-08-31,2429,2026-09-07,508,611,736,776,2026-09-11,4,12.30878428186754
ASIN_5B644D,"9.5"" RED/RED PVC BBG FR W/BAL",https://www.amazon.com/dp/B075S4ML5D,Baseball,Fielding Gloves,Glove & Ball,2026-08-31,209,2027-04-05,40,47,57,65,2026-09-09,14,14.966098342735386
ASIN_7B9F71,MLB A L WHT/WHT 2ND SKINZ BTG,https://www.amazon.com/dp/B07GJK54SR,Baseball,Gloves,Batting Glove,2026-08-31,179,2027-05-24,9,12,16,22,,,
ASIN_FF3AB7,MLB Y S CFX PNK/GRNAPL HI-LITE,,Baseball,Gloves,Batting Glove,,,2027-01-04,3,5,8,11,2026-09-09,4,16.38342863748238
ASIN_E10321,MLB A XL RED GLD PS INF BTG PR,https://www.amazon.com/dp/B07XPS2833,Baseball,Gloves,Batting Glove,2026-08-31,18,2027-02-08,1,1,2,3,,,
ASIN_C49F97,MLB Y M CFX FULL RYL BTG,https://www.amazon.com/dp/B07GJS68VV,Baseball,Gloves,Batting Glove,,,2026-11-30,4,5,9,10,2026-09-09,4,14.611804875942722
ASIN_F1499D,MLB Y S C.BLU CFX HI-LT BTG,https://www.amazon.com/dp/B07XT7KF8Z,Baseball,Gloves,Batting Glove,2026-08-31,153,2027-02-22,16,17,27,32,,,
ASIN_190132,MLB A S WHT/WHT CLSC XT BTG PR,https://www.amazon.com/dp/B07X1ZM91D,Baseball,Gloves,Batting Glove,2026-08-31,142,2027-02-08,8,11,14,17,,,
ASIN_E0C0D7,MLB A S VNL GLD PS INF BTG PR,,Baseball,Gloves,Batting Glove,2026-08-31,34,2027-01-11,2,4,5,7,,,
ASIN_538F0B,SFIA Y M NVY/RED HI-TK REC GLV,https://www.amazon.com/dp/B07DNYKZVL,Baseball,Gloves,Sport Glove,,,2026-12-14,3,1,3,7,,,
ASIN_D8B1CD,MLB A M WHT/BLK SHOKSORB BTG,https://www.amazon.com/dp/B00NCWC69Q,Baseball,Gloves,Batting Glove,2026-08-31,153,2027-03-29,35,40,44,51,2026-09-11,5,16.55501394475017
ASIN_1BB52D,MLB A XL CFX NAVY/GRN HILTE BT,,Baseball,Gloves,Batting Glove,2026-08-31,267,2026-09-28,7,8,10,13,,,
ASIN_E4C13E,Y M RED ACRYLIC BSBL SOCK PR,https://www.amazon.com/dp/B00CI4OE9Y,Baseball,Apparel,Socks,2026-08-31,1146,2026-12-28,67,83,109,151,2026-09-03,3,16.624420072919726
